FeatureResult,Distraction,Attention,BodySpeed,EyesOffScreen,PressesCount,EYEScan,EYEDwell,SingleFastPresses,EEGAB,Targets
0.645811384,0,0.645811384,0,0,0,0.563993902,0.328328756,0.573735293,0.112244463,mistake
-0.096628958,1,0.903371042,0,0,1,0.550199518,0.468104365,0,0.393031544,correct
0.93586772,0,0.93586772,0,0,0,0.138269707,0.134540208,1,0.225267711,correct
-0.282259197,0.537850207,0.255591009,0,0,0.184587258,0.134752388,0.198579957,0,0.206692542,correct
-0.210188651,0.613468219,0.403279568,0,0,0.210538948,0.106512314,0.508592828,0,0.299145009,correct
-0.393399115,0.806243989,0.412844874,0,0,0.276698541,0.163599139,0.222082911,0,0.574188511,mistake
0.801875616,0,0.801875616,0,0,0,0.155094892,0.310525523,0.538258025,1,correct
0.767907395,0,0.767907395,0,0,0,0.245482721,0.380067838,0.55679739,0.72615751,correct
0.979003495,0,0.979003495,0,0,0,0.268892025,0.167968053,1,0.830065585,correct
0.209788516,0.395971313,0.605759829,0,0.135895196,0,0.237653859,0.221304123,0.565863747,0.448569289,mistake
-0.309791572,1,0.690208428,0,0,1,0.188638115,0.271058461,0,0.382651649,correct
0.469189769,0,0.469189769,0,0,0,0.228917215,0.119637635,0.555184198,0.207819545,mistake
-0.400369053,1,0.599630947,0,0.862411818,0.180574801,0.428570031,0.916531734,0,0.11634779,correct
0.43486951,0.272230278,0.707099788,0,0.093427947,0,0.297379853,0.200747309,0.574435219,0.66915739,mistake
-0.955538503,1,0.044461497,0,1,0,0,0,0,0.118679454,correct
0.844585659,0,0.844585659,0,0,0,1,1,0,0.254421746,correct
0.233882824,0,0.233882824,0,0,0,0.238879352,0.285688522,0,0.099727031,correct
-0.147779267,0.532471283,0.384692016,0,0,0.182741241,0.200784145,0.48614064,0,0.19912698,correct
0.246767436,0,0.246767436,0,0,0,0.208872911,0.174596553,0,0.275217868,correct
-0.027075827,0.514377449,0.487301622,0,0,0.176531536,0.239433599,0.273630393,0,0.651664112,correct
0.877773377,0,0.877773377,0,0,0,1,1,0,0.343008513,correct
0.778688108,0,0.778688108,0,0,0,1,1,0,0.078523813,mistake
0.53170891,0,0.53170891,0,0,0,0.553016871,0.560933969,0,0.305320392,correct
0.998456938,0,0.998456938,0,0,0,0.135084921,0.110314024,1,0.419745802,mistake
0.476746692,0,0.476746692,0,0,0,0.261560815,0.333153086,0,0.677848685,correct
0.345910735,0,0.345910735,0,0,0,0.172856172,0.220611721,0,0.529859035,correct
0.849636329,0.206560967,0.795444629,0.225790552,0,0,0.067466016,0.009640434,1,0.545667389,correct
0.849636329,0.183822577,0.926737929,0.200935355,0,0,0.044815551,0.010864141,1,1,correct
